Date,AAPL,ACN,ADBE,AMZN,AVGO,BAC,BRK-B,CSCO,DIS,FB,GOOGL,HD,JNJ,JPM,MA,MSFT,NFLX,NVDA,PFE,PG,TMO,TSLA,UNH,V,XOM,ABBV,ABT,COST,CRM,PEP,AMD,CMCSA,CVX,DHR,INTC,INTU,KO,LIN,LLY,LOW,MCD,MRK,NEE,NKE,PYPL,QCOM,T,VZ,WFC,WMT,AMAT,AMGN,AMT,ANTM,BA,BLK,BMY,C,CAT,CVS,GS,HON,IBM,ISRG,MDT,MS,NOW,ORCL,PLD,PM,RTX,SBUX,SCHW,TGT,UNP,UPS
2011-01-03,10.091495513916016,39.32602310180664,31.290000915527344,184.22000122070312,21.19711875915528,12.22028636932373,80.41000366210938,15.007281303405762,33.30266189575195,,302.4774780273437,27.4980525970459,45.69212341308594,32.375213623046875,20.84366798400879,22.06113243103028,25.48714256286621,3.633103847503662,11.182622909545898,46.38790512084961,54.06697463989258,5.323999881744385,31.366458892822266,16.307363510131836,48.34691619873047,,18.016298294067383,54.66951751708984,34.150001525878906,47.59794998168945,8.470000267028809,9.150236129760742,59.072078704833984,34.106868743896484,15.004979133605955,45.13492965698242,23.171066284179688,75.8586654663086,25.16654396057129,20.67112922668457,55.997825622558594,23.685914993286133,9.4961576461792,18.90873908996582,,37.36233901977539,15.901885032653809,22.049562454223636,23.2265739440918,42.1611557006836,11.494773864746094,42.95578384399414,42.87245559692383,48.96097183227539,53.034523010253906,142.93116760253906,18.82600975036621,42.178192138671875,69.79349517822266,27.7344913482666,145.92745971679688,40.82136917114258,96.8506851196289,29.88888931274414,29.379276275634766,23.046485900878906,,27.17777442932129,23.079439163208008,35.15853500366211,38.22639083862305,13.856891632080078,15.301273345947266,45.053924560546875,37.08652877807617,52.786407470703125
2011-01-04,10.14416217803955,39.06703567504883,31.51000022888184,185.009994506836,21.3496150970459,12.263345718383787,80.16999816894531,15.029252052307127,34.33291244506836,,301.3613586425781,26.999650955200195,46.07760238647461,32.84376907348633,21.112653732299805,22.14785957336425,25.90999984741211,3.621622085571289,11.37869930267334,46.51682662963867,54.31595230102539,5.334000110626221,31.653684616088867,16.325862884521484,48.57389068603516,,18.185840606689453,54.56391525268555,33.92250061035156,47.351806640625,8.770000457763672,9.17886734008789,58.85359191894531,33.911712646484375,15.220871925354004,44.64581298828125,22.69144630432129,75.33284759521484,25.1881046295166,20.17818069458008,54.32375717163086,23.889652252197266,9.590700149536133,18.44310569763184,,37.95055389404297,16.01443862915039,22.49140930175781,23.278057098388672,42.32344055175781,11.42119312286377,43.88372039794922,42.73958969116211,49.28203582763672,53.465824127197266,142.8184356689453,18.769350051879883,42.178192138671875,69.46731567382812,27.71076202392578,145.95272827148438,40.27165603637695,96.95579528808594,30.188888549804688,29.13582420349121,23.24241828918457,,27.057443618774414,23.036579132080078,35.15853500366211,38.28929901123047,13.535991668701172,15.056448936462402,44.47563934326172,36.84507751464844,52.67064666748047
2011-01-05,10.22714138031006,39.07512664794922,32.220001220703125,187.4199981689453,21.341991424560547,12.487257957458496,80.91000366210938,15.212360382080078,35.18704605102539,,304.83984375,26.91399383544922,46.04851913452149,33.245391845703125,21.734607696533203,22.07690048217773,25.67571449279785,3.899500608444214,11.454595565795898,46.40939712524414,54.12442779541016,5.366000175476074,31.75504302978516,16.670421600341797,48.4442024230957,,18.185840606689453,53.55305862426758,35.54999923706055,48.2060432434082,8.90999984741211,9.301580429077148,58.75081634521485,33.875579833984375,15.069746971130373,44.14763259887695,22.55644798278809,75.2770767211914,25.00835609436035,20.276762008666992,54.57961654663086,24.027664184570312,9.516156196594238,18.56390953063965,,38.73979568481445,16.06803321838379,22.80008125305176,23.80760765075684,42.04523468017578,11.249509811401367,43.86824035644531,42.15001678466797,49.40876007080078,53.89713668823242,144.29141235351562,18.690465927124023,42.78071594238281,70.06778717041016,28.003538131713867,146.72860717773438,40.941829681396484,96.56834411621094,30.40333366394043,28.831626892089844,23.536306381225586,,26.679264068603516,23.429445266723633,35.056644439697266,38.34253692626953,13.48181438446045,15.80840015411377,43.69717788696289,36.797569274902344,52.750240325927734
2011-01-06,10.21887493133545,39.22081756591797,32.27000045776367,185.8600006103516,21.746112823486328,12.435583114624023,80.37000274658203,15.344196319580078,34.91408157348633,,307.0570678710937,26.804946899414062,45.97577667236328,33.08177185058594,21.82716560363769,22.72343635559082,25.427143096923828,4.439183712005615,11.498878479003906,46.33060836791992,54.181884765625,5.576000213623047,32.41395950317383,16.920166015625,48.7554817199707,,18.148155212402344,53.29655075073242,35.834999084472656,48.387020111083984,8.6899995803833,9.309762954711914,58.268951416015625,33.897254943847656,14.94740390777588,43.74908828735352,22.393014907836918,74.12987518310547,25.123401641845703,19.824892044067383,54.25064849853516,24.35627555847168,9.474340438842772,18.3969841003418,,39.216304779052734,15.850529670715332,22.21631622314453,23.645797729492188,41.69750213623047,11.355791091918945,43.72905731201172,42.03376770019531,50.28743362426758,54.95143508911133,142.73582458496094,18.532672882080078,42.60856246948242,69.34130096435547,27.718677520751953,145.21908569335938,40.934322357177734,97.62564086914062,29.85333251953125,28.84742546081543,23.51181983947754,,26.79099464416504,23.400876998901367,34.589237213134766,38.30381774902344,13.319283485412598,15.712214469909668,40.724246978759766,36.635284423828125,52.45355987548828
2011-01-07,10.29205322265625,39.28556442260742,32.040000915527344,185.4900054931641,21.56311416625977,12.27195930480957,79.73999786376953,15.358842849731444,34.73796463012695,,308.5285339355469,26.7738037109375,45.5321044921875,32.45702362060547,21.82432746887207,22.54997634887696,25.61428642272949,4.563198089599609,11.600075721740724,46.19453811645508,53.98078155517578,5.6479997634887695,32.4815559387207,16.871604919433594,49.02136993408203,,18.223512649536133,53.29655075073242,35.55500030517578,48.06124877929688,8.829999923706055,9.285216331481934,58.5901985168457,33.875579833984375,14.868241310119627,43.83061218261719,22.35393714904785,75.11775970458984,25.09464836120605,19.709867477416992,54.36761474609375,24.54686737060547,9.494338989257812,18.346460342407227,,38.51642608642578,15.687402725219728,22.03235244750977,23.1677360534668,41.79023361206055,11.413020133972168,44.06157684326172,41.93411636352539,51.08161926269531,55.414703369140625,141.5558319091797,18.503986358642578,42.52248001098633,69.482177734375,27.7344913482666,143.93734741210938,40.88912582397461,97.1462173461914,29.711111068725586,28.768413543701172,23.021997451782227,,26.670665740966797,23.215150833129883,33.81018829345703,38.26994323730469,13.661016464233398,15.6422758102417,40.813201904296875,37.676353454589844,52.20754623413086
2011-01-10,10.485882759094238,38.93754577636719,32.959999084472656,184.67999267578125,22.03585624694824,12.401137351989746,79.6500015258789,15.227010726928713,34.78200149536133,,307.41241455078125,26.781599044799805,45.212059020996094,32.278526306152344,21.74027442932129,22.2503662109375,26.84000015258789,4.737733364105225,11.549476623535156,46.094268798828125,53.76054000854492,5.690000057220459,32.4815559387207,16.605670928955078,48.72305679321289,,18.061508178710938,53.1683349609375,35.65999984741211,47.81513214111328,9.1899995803833,9.293401718139648,58.08903121948242,33.449153900146484,14.889829635620115,43.25090026855469,22.403669357299805,74.23342895507812,24.79983329772949,19.9727783203125,53.77546691894531,24.448286056518555,9.621612548828123,18.48703384399414,,38.48663330078125,15.41008472442627,22.026227951049805,22.94708633422852,41.51977157592773,11.257683753967285,43.64398956298828,41.8593864440918,51.6476936340332,55.18305969238281,143.66761779785156,18.46095085144043,42.264251708984375,69.2301025390625,27.837366104125977,143.1531219482422,40.587928771972656,96.95579528808594,30.175556182861328,28.83952522277832,22.8995361328125,,26.679264068603516,23.35087013244629,33.864131927490234,37.96990966796875,13.65684986114502,15.694735527038574,40.939239501953125,38.53928756713867,52.20030975341797
2011-01-11,10.461079597473145,39.47170639038086,32.97999954223633,184.33999633789065,22.29510307312012,12.650880813598633,79.4000015258789,15.292923927307127,34.693939208984375,,308.3133239746094,27.14761734008789,45.29206466674805,32.42727279663086,21.664724349975582,22.16362762451172,26.66428565979004,4.664244651794434,11.524174690246582,45.86508560180664,53.68392181396485,5.392000198364258,33.01375198364258,16.62186050415039,49.08623504638672,,18.023832321166992,53.61338806152344,35.279998779296875,48.017822265625,8.359999656677246,9.244315147399902,59.00138473510742,33.7382698059082,15.14890956878662,42.61685943603516,22.27222442626953,74.32903289794922,25.101831436157227,20.03850555419922,54.02403259277344,24.28397560119629,9.59251880645752,18.45408821105957,,38.76957321166992,15.176267623901367,21.682830810546875,23.09418296813965,41.9525146484375,11.511120796203613,43.45066833496094,41.909217834472656,52.27290725708008,55.07921600341797,145.3585662841797,18.367721557617188,42.52248001098633,69.64523315429688,27.95606231689453,142.81582641601562,40.663238525390625,96.71936798095703,31.221111297607422,28.85531997680664,22.82605743408203,,26.636287689208984,23.1651554107666,33.57049560546875,38.1925048828125,13.444308280944824,15.659762382507324,40.91698455810547,38.58282470703125,51.91811752319336
2011-01-12,10.546201705932615,40.378177642822266,33.56999969482422,184.0800018310547,21.4792423248291,12.909242630004885,80.73999786376953,15.468704223632812,34.49140930175781,,308.7437438964844,27.124256134033203,45.45936584472656,33.252838134765625,21.988658905029297,22.51055145263672,26.985713958740234,5.362389087677002,11.619051933288574,46.5311393737793,54.23934173583984,5.392000198364258,32.827903747558594,16.79067611694336,49.66340637207031,,18.09227752685547,53.93022918701172,35.40999984741211,48.30739212036133,8.390000343322754,9.215681076049805,59.39975357055664,34.041805267333984,15.328824043273926,42.1911506652832,22.396568298339844,74.66365051269531,25.1881046295166,20.07958602905273,53.80470275878906,24.41542053222656,9.750697135925291,18.390396118164062,,38.970611572265625,15.24696159362793,21.750289916992188,23.54282760620117,42.38525390625,11.658283233642578,43.961029052734375,42.10020065307617,52.3235969543457,56.02968978881836,145.6741485595703,18.611562728881836,43.727569580078125,69.30426025390625,27.544591903686523,144.76368713378906,41.205421447753906,97.91461181640625,31.356666564941406,28.99755859375,23.43834686279297,,26.593311309814453,23.186582565307617,33.91206359863281,38.4393310546875,13.419307708740234,15.878347396850586,41.10975646972656,38.82429122924805,52.06282424926758
2011-01-13,10.584783554077148,40.36198043823242,33.380001068115234,185.52999877929688,21.61648750305176,12.71977996826172,80.76000213623047,15.439407348632812,34.5706672668457,,308.6536560058594,27.46689796447754,45.7575798034668,33.05946350097656,22.052873611450195,22.22670555114746,27.35571479797364,5.371574401855469,11.524174690246582,46.89641189575195,54.14359664916992,5.24399995803833,33.45304489135742,16.45073699951172,49.74771499633789,,18.012426376342773,54.01322555541992,35.962501525878906,48.43770599365234,8.260000228881836,9.21977424621582,59.22628402709961,33.89002990722656,15.321626663208008,41.99186706542969,22.52446937561035,74.0103988647461,25.09464836120605,20.16995620727539,53.12482452392578,22.798683166503903,9.774332046508787,18.133413314819336,,38.62065887451172,15.268704414367676,21.95263290405273,23.454574584960938,42.3388900756836,11.64193058013916,43.551212310791016,42.14171600341797,52.222206115722656,55.77410125732422,147.1547088623047,18.57571029663086,43.38326644897461,69.78607940673828,27.584156036376953,144.67947387695312,41.107513427734375,97.7306900024414,31.012222290039062,29.447925567626953,23.103626251220703,,26.799596786499023,23.072290420532227,33.8581428527832,38.473201751708984,13.506824493408203,16.21934700012207,41.08750534057617,39.19638442993164,52.27989959716797
2011-01-14,10.670519828796388,40.46720123291016,33.790000915527344,188.75,22.11972999572754,13.133150100708008,81.6500015258789,15.534625053405762,34.59708786010742,,312.40240478515625,27.94972419738769,45.4957389831543,33.401580810546875,22.373973846435547,22.313438415527344,27.354286193847656,5.417504787445068,11.600075721740724,46.93222427368164,54.24892044067383,5.150000095367432,34.44143295288086,16.44611358642578,50.48054504394531,,17.82990837097168,54.699684143066406,36.61750030517578,48.34358978271485,8.199999809265137,9.293401718139648,59.64389419555664,34.07794952392578,15.170498847961426,42.55346298217773,22.42853736877441,74.08204650878906,25.101831436157227,20.632118225097656,54.1409912109375,22.496368408203125,9.84524154663086,18.46505546569824,,38.74722671508789,15.45902156829834,21.7441520690918,24.087093353271484,42.35434341430664,12.524887084960938,43.69040298461914,41.39437484741211,53.69230651855469,55.96580123901367,149.59713745117188,18.532672882080078,44.15796661376953,69.68971252441406,27.758237838745117,147.57179260253906,41.431312561035156,98.50562286376953,32.03111267089844,29.392616271972656,23.658775329589844,,26.90289878845215,23.215150833129883,33.96000671386719,38.26994323730469,13.62768268585205,16.464174270629883,40.82801818847656,39.05387878417969,52.44633865356445
